max_rank,followers,Unnamed: 0,username,description,location,following,totaltweets,retweetcount,text,hashtags
1.0,78252,58,VSiNLive,THE Sports Betting Network: 24-7 sports betting news @NESN @MASNSports @fuboTV @WatchMarquee @Sling @Sportsnet @iHeartRadio @YouTubeTV @SpectrumSN,"Las Vegas, NV",7010,53953,0,"⚾️ @MLB Sports Betting Preview I @Cubs at @Braves I #WatchNow ⏬ | @Ben_Wilson_1 

#MLB odds → https://t.co/EQxypYZTWg https://t.co/ccSiOjxm4s","['WatchNow', 'MLB']"
2.0,56349,44,FantasyAlarm,"Award-Winning Playbook Pro, Fantasy News, Lineups & Wagering Picks. @FantasyAlarm @DFSAlarm @Pickswise @FantasyRundown & Fantasy Alarm Show @SiriusXMFantasy",Worldwide,276,420813,2,"Which #MLB players are RISING and FALLING in #FantasyBaseball over the past week? 📈📉

@FenstySports covers it all in the latest Stock Watch video! ⚾📺 

✅ WATCH FOR FREE: https://t.co/y1T6o7wsG7 https://t.co/twDFy1tvv0","['MLB', 'FantasyBaseball']"
3.0,29107,64,sigg20,"Oldtime Sports, Old Time Entertainment.Mets,Yankees,Rangers,Old Time Baseball,music and John Wayne.",,1994,74946,5,“Old Days”An SRO at Cleveland Stadium for a 1949 Yankees-Indians Doubleheader.#indians #Cleveland #Yankees #MLB #NYC  #1940s https://t.co/uqBQMhyJa9,"['indians', 'Cleveland', 'Yankees', 'MLB', 'NYC', '1940s']"
4.0,17429,4,DFS_Karma,"Get in our FREE Chat Room (https://t.co/4J1B3CAwst) Our Coaches, Content, Projections & Tools will make you a better DFS player. https://t.co/eW1wL8TzIj","Cleveland, OH",219,30995,0,"⚾️MLB DFS CONTENT 4/26⚾️

Building Blocks: https://t.co/F2rLzq7o3i

Final Thoughts: https://t.co/4YyOq3J1Up

Jock MKT Plays: https://t.co/7l3SRwXxRQ #MLB #DFS https://t.co/NuGehH2Zmj","['MLB', 'DFS']"
5.0,13667,48,LineStarApp,"DFS & Props & Legal Sports Gambling. Free Download for iOS/Android. Upgrade to LineStar Premium $20/mo 🔥 Rating: 4.8 · 7,243 reviews",San Diego ☀️,628,35687,0,"No reason to get tricky at pitcher tonight! @Ryan_Humphries likes Carlos Rodon as his favorite pitcher tonight. 

#MLB #DFS #Draftkings #Fanduel https://t.co/MuFMKspEfI","['MLB', 'DFS', 'Draftkings', 'Fanduel']"
6.0,9530,57,DocsSports,Since 1971 the most trusted name in #sportspicks 🏈 #NFLPicks  College Football Picks 🏀 #NBAPicks #UFC  #Golf ⚾ MLB Picks 🏒 #NHLPicks #betting #odds,Las Vegas,104,17319,1,"https://t.co/k15lDoTzpg
Free Picks 386-293 long term, 128-98 and 47-36 runs 

&gt; #MLB Tuesday Triple Play!
&gt; #NBA Tuesday Top Pick! (47-22 run, Over $7,000)
&gt; #NHL Favored Fave! 5-1 move)

Get my Top Plays here: https://t.co/MhS4XNTlKP

@DocsSports - Let's Win! #gamblingtwitter","['MLB', 'NBA']"
7.5,8476,26,FenstySports,"Radio Host: Alarm After Hours M-F 12a-2a ET on @SiriusXMFantasy
@FantasyAlarm/@DFSAlarm Sr Analyst
FAmily Times Podcast
Slimed At Nickelodeon Studios in 2003",Everywhere,878,8839,0,The latest #FantasyBaseball Stock Watch Report is out on @FantasyAlarm! Market is STILL open! #MLB https://t.co/at8yUo8dVf,"['FantasyBaseball', 'MLB']"
7.5,8476,41,FenstySports,"Radio Host: Alarm After Hours M-F 12a-2a ET on @SiriusXMFantasy
@FantasyAlarm/@DFSAlarm Sr Analyst
FAmily Times Podcast
Slimed At Nickelodeon Studios in 2003",Everywhere,878,8839,2,"Which #MLB players are RISING and FALLING in #FantasyBaseball over the past week? 📈📉

@FenstySports covers it all in the latest Stock Watch video! ⚾📺 

✅ WATCH FOR FREE: https://t.co/y1T6o7wsG7 https://t.co/twDFy1tvv0","['MLB', 'FantasyBaseball']"
9.0,7181,86,DFSPrimeLineups,Best #DFS #team providing industry leading #dailyfantasysports content #FanDuel #DraftKings #NBA #MLB #NFL #NHL Click on https://t.co/JE5n7x0ffj to visit us!,Winners Lane,648,49054,1,"Another🔥#win🔥for our members! #FREE offerings everyday, just click➡️https://t.co/dLBNGuv5It . The #best in #DFS ! 🌐🔗 is https://t.co/p5UVPhh807 

#FanDuel #DraftKings #sportspicks #NBA #NFL #MLB https://t.co/Z1B4pRchI1","['win', 'FREE', 'best', 'DFS', 'FanDuel', 'DraftKings', 'sportspicks', 'NBA', 'NFL', 'MLB']"
10.0,6497,81,BigRagoo62,35+Yr OG Gambler - Capper Content @PubSportsRadio Football - Baseball - Horses,Anywhere Anytime,403,6714,0,"We go LIVE in 15 mins..
#SAYHEYPLAYS
#MLB #GamblingTwitter 
#SeeYouAtTheWindow !

https://t.co/O2yq2nmOtR","['SAYHEYPLAYS', 'MLB', 'GamblingTwitter', 'SeeYouAtTheWindow']"
